"order_id","order_date","customer_id","contact_name","product_id","product_name","category_id","unit_price","units_in_stock","units_on_order","reorder_level","discontinued","order_id-2","product_id-2","unit_price-2","quantity","discount","employee_id","birth_date","hire_date","category_id-2","category_name","shipper_id","company_name"
10252,"1996-07-09","SUPRD","Pascale Cartrain",60,"Camembert Pierrot",4,"34",19,0,0,0,10252,60,"27.2",40,"0",4,"1937-09-19","1993-05-03",4,"Dairy Products",2,"United Package"
10253,"1996-07-10","HANAR","Mario Pontes",31,"Gorgonzola Telino",4,"12.5",0,70,20,0,10253,31,"10",20,"0",3,"1963-08-30","1992-04-01",4,"Dairy Products",2,"United Package"
10253,"1996-07-10","HANAR","Mario Pontes",39,"Chartreuse verte",1,"18",69,0,5,0,10253,39,"14.4",42,"0",3,"1963-08-30","1992-04-01",1,"Beverages",2,"United Package"
10253,"1996-07-10","HANAR","Mario Pontes",49,"Maxilaku",3,"20",10,60,15,0,10253,49,"16",40,"0",3,"1963-08-30","1992-04-01",3,"Confections",2,"United Package"
10254,"1996-07-11","CHOPS","Yang Wang",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10254,24,"3.6",15,"0.15",5,"1955-03-04","1993-10-17",1,"Beverages",2,"United Package"
10254,"1996-07-11","CHOPS","Yang Wang",55,"Pâté chinois",6,"24",115,0,20,0,10254,55,"19.2",21,"0.15",5,"1955-03-04","1993-10-17",6,"Meat/Poultry",2,"United Package"
10254,"1996-07-11","CHOPS","Yang Wang",74,"Longlife Tofu",7,"10",4,20,5,0,10254,74,"8",21,"0",5,"1955-03-04","1993-10-17",7,"Produce",2,"United Package"
10255,"1996-07-12","RICSU","Michael Holz",2,"Chang",1,"19",17,40,25,1,10255,2,"15.2",20,"0",9,"1966-01-27","1994-11-15",1,"Beverages",3,"Federal Shipping"
10255,"1996-07-12","RICSU","Michael Holz",16,"Pavlova",3,"17.45",29,0,10,0,10255,16,"13.9",35,"0",9,"1966-01-27","1994-11-15",3,"Confections",3,"Federal Shipping"
10255,"1996-07-12","RICSU","Michael Holz",36,"Inlagd Sill",8,"19",112,0,20,0,10255,36,"15.2",25,"0",9,"1966-01-27","1994-11-15",8,"Seafood",3,"Federal Shipping"
10255,"1996-07-12","RICSU","Michael Holz",59,"Raclette Courdavault",4,"55",79,0,0,0,10255,59,"44",30,"0",9,"1966-01-27","1994-11-15",4,"Dairy Products",3,"Federal Shipping"
10256,"1996-07-15","WELLI","Paula Parente",53,"Perth Pasties",6,"32.8",0,0,0,1,10256,53,"26.2",15,"0",3,"1963-08-30","1992-04-01",6,"Meat/Poultry",2,"United Package"
10256,"1996-07-15","WELLI","Paula Parente",77,"Original Frankfurter grüne Soße",2,"13",32,0,15,0,10256,77,"10.4",12,"0",3,"1963-08-30","1992-04-01",2,"Condiments",2,"United Package"
10257,"1996-07-16","HILAA","Carlos Hernández",27,"Schoggi Schokolade",3,"43.9",49,0,30,0,10257,27,"35.1",25,"0",4,"1937-09-19","1993-05-03",3,"Confections",3,"Federal Shipping"
10257,"1996-07-16","HILAA","Carlos Hernández",39,"Chartreuse verte",1,"18",69,0,5,0,10257,39,"14.4",6,"0",4,"1937-09-19","1993-05-03",1,"Beverages",3,"Federal Shipping"
10257,"1996-07-16","HILAA","Carlos Hernández",77,"Original Frankfurter grüne Soße",2,"13",32,0,15,0,10257,77,"10.4",15,"0",4,"1937-09-19","1993-05-03",2,"Condiments",3,"Federal Shipping"
10258,"1996-07-17","ERNSH","Roland Mendel",2,"Chang",1,"19",17,40,25,1,10258,2,"15.2",50,"0.2",1,"1948-12-08","1992-05-01",1,"Beverages",1,"Speedy Express"
10258,"1996-07-17","ERNSH","Roland Mendel",5,"Chef Anton's Gumbo Mix",2,"21.35",0,0,0,1,10258,5,"17",65,"0.2",1,"1948-12-08","1992-05-01",2,"Condiments",1,"Speedy Express"
10258,"1996-07-17","ERNSH","Roland Mendel",32,"Mascarpone Fabioli",4,"32",9,40,25,0,10258,32,"25.6",6,"0.2",1,"1948-12-08","1992-05-01",4,"Dairy Products",1,"Speedy Express"
10259,"1996-07-18","CENTC","Francisco Chang",21,"Sir Rodney's Scones",3,"10",3,40,5,0,10259,21,"8",10,"0",4,"1937-09-19","1993-05-03",3,"Confections",3,"Federal Shipping"
10259,"1996-07-18","CENTC","Francisco Chang",37,"Gravad lax",8,"26",11,50,25,0,10259,37,"20.8",1,"0",4,"1937-09-19","1993-05-03",8,"Seafood",3,"Federal Shipping"
10260,"1996-07-19","OTTIK","Henriette Pfalzheim",41,"Jack's New England Clam Chowder",8,"9.65",85,0,10,0,10260,41,"7.7",16,"0.25",4,"1937-09-19","1993-05-03",8,"Seafood",1,"Speedy Express"
10260,"1996-07-19","OTTIK","Henriette Pfalzheim",57,"Ravioli Angelo",5,"19.5",36,0,20,0,10260,57,"15.6",50,"0",4,"1937-09-19","1993-05-03",5,"Grains/Cereals",1,"Speedy Express"
10260,"1996-07-19","OTTIK","Henriette Pfalzheim",62,"Tarte au sucre",3,"49.3",17,0,0,0,10260,62,"39.4",15,"0.25",4,"1937-09-19","1993-05-03",3,"Confections",1,"Speedy Express"
10260,"1996-07-19","OTTIK","Henriette Pfalzheim",70,"Outback Lager",1,"15",15,10,30,0,10260,70,"12",21,"0.25",4,"1937-09-19","1993-05-03",1,"Beverages",1,"Speedy Express"
10261,"1996-07-19","QUEDE","Bernardo Batista",21,"Sir Rodney's Scones",3,"10",3,40,5,0,10261,21,"8",20,"0",4,"1937-09-19","1993-05-03",3,"Confections",2,"United Package"
10261,"1996-07-19","QUEDE","Bernardo Batista",35,"Steeleye Stout",1,"18",20,0,15,0,10261,35,"14.4",20,"0",4,"1937-09-19","1993-05-03",1,"Beverages",2,"United Package"
10262,"1996-07-22","RATTC","Paula Wilson",5,"Chef Anton's Gumbo Mix",2,"21.35",0,0,0,1,10262,5,"17",12,"0.2",8,"1958-01-09","1994-03-05",2,"Condiments",3,"Federal Shipping"
10262,"1996-07-22","RATTC","Paula Wilson",7,"Uncle Bob's Organic Dried Pears",7,"30",15,0,10,0,10262,7,"24",15,"0",8,"1958-01-09","1994-03-05",7,"Produce",3,"Federal Shipping"
10262,"1996-07-22","RATTC","Paula Wilson",56,"Gnocchi di nonna Alice",5,"38",21,10,30,0,10262,56,"30.4",2,"0",8,"1958-01-09","1994-03-05",5,"Grains/Cereals",3,"Federal Shipping"
10263,"1996-07-23","ERNSH","Roland Mendel",16,"Pavlova",3,"17.45",29,0,10,0,10263,16,"13.9",60,"0.25",9,"1966-01-27","1994-11-15",3,"Confections",3,"Federal Shipping"
10263,"1996-07-23","ERNSH","Roland Mendel",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10263,24,"3.6",28,"0",9,"1966-01-27","1994-11-15",1,"Beverages",3,"Federal Shipping"
10263,"1996-07-23","ERNSH","Roland Mendel",30,"Nord-Ost Matjeshering",8,"25.89",10,0,15,0,10263,30,"20.7",60,"0.25",9,"1966-01-27","1994-11-15",8,"Seafood",3,"Federal Shipping"
10263,"1996-07-23","ERNSH","Roland Mendel",74,"Longlife Tofu",7,"10",4,20,5,0,10263,74,"8",36,"0.25",9,"1966-01-27","1994-11-15",7,"Produce",3,"Federal Shipping"
10264,"1996-07-24","FOLKO","Maria Larsson",2,"Chang",1,"19",17,40,25,1,10264,2,"15.2",35,"0",6,"1963-07-02","1993-10-17",1,"Beverages",3,"Federal Shipping"
10264,"1996-07-24","FOLKO","Maria Larsson",41,"Jack's New England Clam Chowder",8,"9.65",85,0,10,0,10264,41,"7.7",25,"0.15",6,"1963-07-02","1993-10-17",8,"Seafood",3,"Federal Shipping"
10265,"1996-07-25","BLONP","Frédérique Citeaux",17,"Alice Mutton",6,"39",0,0,0,1,10265,17,"31.2",30,"0",2,"1952-02-19","1992-08-14",6,"Meat/Poultry",1,"Speedy Express"
10265,"1996-07-25","BLONP","Frédérique Citeaux",70,"Outback Lager",1,"15",15,10,30,0,10265,70,"12",20,"0",2,"1952-02-19","1992-08-14",1,"Beverages",1,"Speedy Express"
10266,"1996-07-26","WARTH","Pirkko Koskitalo",12,"Queso Manchego La Pastora",4,"38",86,0,0,0,10266,12,"30.4",12,"0.05",3,"1963-08-30","1992-04-01",4,"Dairy Products",3,"Federal Shipping"
10267,"1996-07-29","FRANK","Peter Franken",40,"Boston Crab Meat",8,"18.4",123,0,30,0,10267,40,"14.7",50,"0",4,"1937-09-19","1993-05-03",8,"Seafood",1,"Speedy Express"
10267,"1996-07-29","FRANK","Peter Franken",59,"Raclette Courdavault",4,"55",79,0,0,0,10267,59,"44",70,"0.15",4,"1937-09-19","1993-05-03",4,"Dairy Products",1,"Speedy Express"
10267,"1996-07-29","FRANK","Peter Franken",76,"Lakkalikööri",1,"18",57,0,20,0,10267,76,"14.4",15,"0.15",4,"1937-09-19","1993-05-03",1,"Beverages",1,"Speedy Express"
10268,"1996-07-30","GROSR","Manuel Pereira",29,"Thüringer Rostbratwurst",6,"123.79",0,0,0,1,10268,29,"99",10,"0",8,"1958-01-09","1994-03-05",6,"Meat/Poultry",3,"Federal Shipping"
10268,"1996-07-30","GROSR","Manuel Pereira",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10268,72,"27.8",4,"0",8,"1958-01-09","1994-03-05",4,"Dairy Products",3,"Federal Shipping"
10269,"1996-07-31","WHITC","Karl Jablonski",33,"Geitost",4,"2.5",112,0,20,0,10269,33,"2",60,"0.05",5,"1955-03-04","1993-10-17",4,"Dairy Products",1,"Speedy Express"
10269,"1996-07-31","WHITC","Karl Jablonski",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10269,72,"27.8",20,"0.05",5,"1955-03-04","1993-10-17",4,"Dairy Products",1,"Speedy Express"
10270,"1996-08-01","WARTH","Pirkko Koskitalo",36,"Inlagd Sill",8,"19",112,0,20,0,10270,36,"15.2",30,"0",1,"1948-12-08","1992-05-01",8,"Seafood",1,"Speedy Express"
10270,"1996-08-01","WARTH","Pirkko Koskitalo",43,"Ipoh Coffee",1,"46",17,10,25,0,10270,43,"36.8",25,"0",1,"1948-12-08","1992-05-01",1,"Beverages",1,"Speedy Express"
10271,"1996-08-01","SPLIR","Art Braunschweiger",33,"Geitost",4,"2.5",112,0,20,0,10271,33,"2",24,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",2,"United Package"
10272,"1996-08-02","RATTC","Paula Wilson",20,"Sir Rodney's Marmalade",3,"81",40,0,0,0,10272,20,"64.8",6,"0",6,"1963-07-02","1993-10-17",3,"Confections",2,"United Package"
10272,"1996-08-02","RATTC","Paula Wilson",31,"Gorgonzola Telino",4,"12.5",0,70,20,0,10272,31,"10",40,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",2,"United Package"
10272,"1996-08-02","RATTC","Paula Wilson",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10272,72,"27.8",24,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",2,"United Package"
10273,"1996-08-05","QUICK","Horst Kloss",10,"Ikura",8,"31",31,0,0,0,10273,10,"24.8",24,"0.05",3,"1963-08-30","1992-04-01",8,"Seafood",3,"Federal Shipping"
10273,"1996-08-05","QUICK","Horst Kloss",31,"Gorgonzola Telino",4,"12.5",0,70,20,0,10273,31,"10",15,"0.05",3,"1963-08-30","1992-04-01",4,"Dairy Products",3,"Federal Shipping"
10273,"1996-08-05","QUICK","Horst Kloss",33,"Geitost",4,"2.5",112,0,20,0,10273,33,"2",20,"0",3,"1963-08-30","1992-04-01",4,"Dairy Products",3,"Federal Shipping"
10273,"1996-08-05","QUICK","Horst Kloss",40,"Boston Crab Meat",8,"18.4",123,0,30,0,10273,40,"14.7",60,"0.05",3,"1963-08-30","1992-04-01",8,"Seafood",3,"Federal Shipping"
10273,"1996-08-05","QUICK","Horst Kloss",76,"Lakkalikööri",1,"18",57,0,20,0,10273,76,"14.4",33,"0.05",3,"1963-08-30","1992-04-01",1,"Beverages",3,"Federal Shipping"
10274,"1996-08-06","VINET","Paul Henriot",71,"Flotemysost",4,"21.5",26,0,0,0,10274,71,"17.2",20,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",1,"Speedy Express"
10274,"1996-08-06","VINET","Paul Henriot",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10274,72,"27.8",7,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",1,"Speedy Express"
10275,"1996-08-07","MAGAA","Giovanni Rovelli",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10275,24,"3.6",12,"0.05",1,"1948-12-08","1992-05-01",1,"Beverages",1,"Speedy Express"
10275,"1996-08-07","MAGAA","Giovanni Rovelli",59,"Raclette Courdavault",4,"55",79,0,0,0,10275,59,"44",6,"0.05",1,"1948-12-08","1992-05-01",4,"Dairy Products",1,"Speedy Express"
10276,"1996-08-08","TORTU","Miguel Angel Paolino",10,"Ikura",8,"31",31,0,0,0,10276,10,"24.8",15,"0",8,"1958-01-09","1994-03-05",8,"Seafood",3,"Federal Shipping"
10276,"1996-08-08","TORTU","Miguel Angel Paolino",13,"Konbu",8,"6",24,0,5,0,10276,13,"4.8",10,"0",8,"1958-01-09","1994-03-05",8,"Seafood",3,"Federal Shipping"
10277,"1996-08-09","MORGK","Alexander Feuer",28,"Rössle Sauerkraut",7,"45.6",26,0,0,1,10277,28,"36.4",20,"0",2,"1952-02-19","1992-08-14",7,"Produce",3,"Federal Shipping"
10277,"1996-08-09","MORGK","Alexander Feuer",62,"Tarte au sucre",3,"49.3",17,0,0,0,10277,62,"39.4",12,"0",2,"1952-02-19","1992-08-14",3,"Confections",3,"Federal Shipping"
10278,"1996-08-12","BERGS","Christina Berglund",44,"Gula Malacca",2,"19.45",27,0,15,0,10278,44,"15.5",16,"0",8,"1958-01-09","1994-03-05",2,"Condiments",2,"United Package"
10278,"1996-08-12","BERGS","Christina Berglund",59,"Raclette Courdavault",4,"55",79,0,0,0,10278,59,"44",15,"0",8,"1958-01-09","1994-03-05",4,"Dairy Products",2,"United Package"
10278,"1996-08-12","BERGS","Christina Berglund",63,"Vegie-spread",2,"43.9",24,0,5,0,10278,63,"35.1",8,"0",8,"1958-01-09","1994-03-05",2,"Condiments",2,"United Package"
10278,"1996-08-12","BERGS","Christina Berglund",73,"Röd Kaviar",8,"15",101,0,5,0,10278,73,"12",25,"0",8,"1958-01-09","1994-03-05",8,"Seafood",2,"United Package"
10279,"1996-08-13","LEHMS","Renate Messner",17,"Alice Mutton",6,"39",0,0,0,1,10279,17,"31.2",15,"0.25",8,"1958-01-09","1994-03-05",6,"Meat/Poultry",2,"United Package"
10280,"1996-08-14","BERGS","Christina Berglund",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10280,24,"3.6",12,"0",2,"1952-02-19","1992-08-14",1,"Beverages",1,"Speedy Express"
10280,"1996-08-14","BERGS","Christina Berglund",55,"Pâté chinois",6,"24",115,0,20,0,10280,55,"19.2",20,"0",2,"1952-02-19","1992-08-14",6,"Meat/Poultry",1,"Speedy Express"
10280,"1996-08-14","BERGS","Christina Berglund",75,"Rhönbräu Klosterbier",1,"7.75",125,0,25,0,10280,75,"6.2",30,"0",2,"1952-02-19","1992-08-14",1,"Beverages",1,"Speedy Express"
10281,"1996-08-14","ROMEY","Alejandra Camino",19,"Teatime Chocolate Biscuits",3,"9.2",25,0,5,0,10281,19,"7.3",1,"0",4,"1937-09-19","1993-05-03",3,"Confections",1,"Speedy Express"
10281,"1996-08-14","ROMEY","Alejandra Camino",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10281,24,"3.6",6,"0",4,"1937-09-19","1993-05-03",1,"Beverages",1,"Speedy Express"
10281,"1996-08-14","ROMEY","Alejandra Camino",35,"Steeleye Stout",1,"18",20,0,15,0,10281,35,"14.4",4,"0",4,"1937-09-19","1993-05-03",1,"Beverages",1,"Speedy Express"
10282,"1996-08-15","ROMEY","Alejandra Camino",30,"Nord-Ost Matjeshering",8,"25.89",10,0,15,0,10282,30,"20.7",6,"0",4,"1937-09-19","1993-05-03",8,"Seafood",1,"Speedy Express"
10282,"1996-08-15","ROMEY","Alejandra Camino",57,"Ravioli Angelo",5,"19.5",36,0,20,0,10282,57,"15.6",2,"0",4,"1937-09-19","1993-05-03",5,"Grains/Cereals",1,"Speedy Express"
10283,"1996-08-16","LILAS","Carlos González",15,"Genen Shouyu",2,"13",39,0,5,0,10283,15,"12.4",20,"0",3,"1963-08-30","1992-04-01",2,"Condiments",3,"Federal Shipping"
10283,"1996-08-16","LILAS","Carlos González",19,"Teatime Chocolate Biscuits",3,"9.2",25,0,5,0,10283,19,"7.3",18,"0",3,"1963-08-30","1992-04-01",3,"Confections",3,"Federal Shipping"
10283,"1996-08-16","LILAS","Carlos González",60,"Camembert Pierrot",4,"34",19,0,0,0,10283,60,"27.2",35,"0",3,"1963-08-30","1992-04-01",4,"Dairy Products",3,"Federal Shipping"
10283,"1996-08-16","LILAS","Carlos González",72,"Mozzarella di Giovanni",4,"34.8",14,0,0,0,10283,72,"27.8",3,"0",3,"1963-08-30","1992-04-01",4,"Dairy Products",3,"Federal Shipping"
10284,"1996-08-19","LEHMS","Renate Messner",27,"Schoggi Schokolade",3,"43.9",49,0,30,0,10284,27,"35.1",15,"0.25",4,"1937-09-19","1993-05-03",3,"Confections",1,"Speedy Express"
10284,"1996-08-19","LEHMS","Renate Messner",44,"Gula Malacca",2,"19.45",27,0,15,0,10284,44,"15.5",21,"0",4,"1937-09-19","1993-05-03",2,"Condiments",1,"Speedy Express"
10284,"1996-08-19","LEHMS","Renate Messner",60,"Camembert Pierrot",4,"34",19,0,0,0,10284,60,"27.2",20,"0.25",4,"1937-09-19","1993-05-03",4,"Dairy Products",1,"Speedy Express"
10284,"1996-08-19","LEHMS","Renate Messner",67,"Laughing Lumberjack Lager",1,"14",52,0,10,0,10284,67,"11.2",5,"0.25",4,"1937-09-19","1993-05-03",1,"Beverages",1,"Speedy Express"
10285,"1996-08-20","QUICK","Horst Kloss",1,"Chai",1,"18",39,0,10,1,10285,1,"14.4",45,"0.2",1,"1948-12-08","1992-05-01",1,"Beverages",2,"United Package"
10285,"1996-08-20","QUICK","Horst Kloss",40,"Boston Crab Meat",8,"18.4",123,0,30,0,10285,40,"14.7",40,"0.2",1,"1948-12-08","1992-05-01",8,"Seafood",2,"United Package"
10285,"1996-08-20","QUICK","Horst Kloss",53,"Perth Pasties",6,"32.8",0,0,0,1,10285,53,"26.2",36,"0.2",1,"1948-12-08","1992-05-01",6,"Meat/Poultry",2,"United Package"
10286,"1996-08-21","QUICK","Horst Kloss",35,"Steeleye Stout",1,"18",20,0,15,0,10286,35,"14.4",100,"0",8,"1958-01-09","1994-03-05",1,"Beverages",3,"Federal Shipping"
10286,"1996-08-21","QUICK","Horst Kloss",62,"Tarte au sucre",3,"49.3",17,0,0,0,10286,62,"39.4",40,"0",8,"1958-01-09","1994-03-05",3,"Confections",3,"Federal Shipping"
10287,"1996-08-22","RICAR","Janete Limeira",16,"Pavlova",3,"17.45",29,0,10,0,10287,16,"13.9",40,"0.15",8,"1958-01-09","1994-03-05",3,"Confections",3,"Federal Shipping"
10287,"1996-08-22","RICAR","Janete Limeira",34,"Sasquatch Ale",1,"14",111,0,15,0,10287,34,"11.2",20,"0",8,"1958-01-09","1994-03-05",1,"Beverages",3,"Federal Shipping"
10287,"1996-08-22","RICAR","Janete Limeira",46,"Spegesild",8,"12",95,0,0,0,10287,46,"9.6",15,"0.15",8,"1958-01-09","1994-03-05",8,"Seafood",3,"Federal Shipping"
10288,"1996-08-23","REGGC","Maurizio Moroni",54,"Tourtière",6,"7.45",21,0,10,0,10288,54,"5.9",10,"0.1",4,"1937-09-19","1993-05-03",6,"Meat/Poultry",1,"Speedy Express"
10288,"1996-08-23","REGGC","Maurizio Moroni",68,"Scottish Longbreads",3,"12.5",6,10,15,0,10288,68,"10",3,"0.1",4,"1937-09-19","1993-05-03",3,"Confections",1,"Speedy Express"
10289,"1996-08-26","BSBEV","Victoria Ashworth",3,"Aniseed Syrup",2,"10",13,70,25,0,10289,3,"8",30,"0",7,"1960-05-29","1994-01-02",2,"Condiments",3,"Federal Shipping"
10289,"1996-08-26","BSBEV","Victoria Ashworth",64,"Wimmers gute Semmelknödel",5,"33.25",22,80,30,0,10289,64,"26.6",9,"0",7,"1960-05-29","1994-01-02",5,"Grains/Cereals",3,"Federal Shipping"
10290,"1996-08-27","COMMI","Pedro Afonso",5,"Chef Anton's Gumbo Mix",2,"21.35",0,0,0,1,10290,5,"17",20,"0",8,"1958-01-09","1994-03-05",2,"Condiments",1,"Speedy Express"
10290,"1996-08-27","COMMI","Pedro Afonso",29,"Thüringer Rostbratwurst",6,"123.79",0,0,0,1,10290,29,"99",15,"0",8,"1958-01-09","1994-03-05",6,"Meat/Poultry",1,"Speedy Express"
10290,"1996-08-27","COMMI","Pedro Afonso",49,"Maxilaku",3,"20",10,60,15,0,10290,49,"16",15,"0",8,"1958-01-09","1994-03-05",3,"Confections",1,"Speedy Express"
10290,"1996-08-27","COMMI","Pedro Afonso",77,"Original Frankfurter grüne Soße",2,"13",32,0,15,0,10290,77,"10.4",10,"0",8,"1958-01-09","1994-03-05",2,"Condiments",1,"Speedy Express"
10291,"1996-08-27","QUEDE","Bernardo Batista",13,"Konbu",8,"6",24,0,5,0,10291,13,"4.8",20,"0.1",6,"1963-07-02","1993-10-17",8,"Seafood",2,"United Package"
10291,"1996-08-27","QUEDE","Bernardo Batista",44,"Gula Malacca",2,"19.45",27,0,15,0,10291,44,"15.5",24,"0.1",6,"1963-07-02","1993-10-17",2,"Condiments",2,"United Package"
10291,"1996-08-27","QUEDE","Bernardo Batista",51,"Manjimup Dried Apples",7,"53",20,0,10,0,10291,51,"42.4",2,"0.1",6,"1963-07-02","1993-10-17",7,"Produce",2,"United Package"
10292,"1996-08-28","TRADH","Anabela Domingues",20,"Sir Rodney's Marmalade",3,"81",40,0,0,0,10292,20,"64.8",20,"0",1,"1948-12-08","1992-05-01",3,"Confections",2,"United Package"
10293,"1996-08-29","TORTU","Miguel Angel Paolino",18,"Carnarvon Tigers",8,"62.5",42,0,0,0,10293,18,"50",12,"0",1,"1948-12-08","1992-05-01",8,"Seafood",3,"Federal Shipping"
10293,"1996-08-29","TORTU","Miguel Angel Paolino",24,"Guaraná Fantástica",1,"4.5",20,0,0,1,10293,24,"3.6",10,"0",1,"1948-12-08","1992-05-01",1,"Beverages",3,"Federal Shipping"
10293,"1996-08-29","TORTU","Miguel Angel Paolino",63,"Vegie-spread",2,"43.9",24,0,5,0,10293,63,"35.1",5,"0",1,"1948-12-08","1992-05-01",2,"Condiments",3,"Federal Shipping"
10293,"1996-08-29","TORTU","Miguel Angel Paolino",75,"Rhönbräu Klosterbier",1,"7.75",125,0,25,0,10293,75,"6.2",6,"0",1,"1948-12-08","1992-05-01",1,"Beverages",3,"Federal Shipping"
10294,"1996-08-30","RATTC","Paula Wilson",1,"Chai",1,"18",39,0,10,1,10294,1,"14.4",18,"0",4,"1937-09-19","1993-05-03",1,"Beverages",2,"United Package"
10294,"1996-08-30","RATTC","Paula Wilson",17,"Alice Mutton",6,"39",0,0,0,1,10294,17,"31.2",15,"0",4,"1937-09-19","1993-05-03",6,"Meat/Poultry",2,"United Package"
10294,"1996-08-30","RATTC","Paula Wilson",43,"Ipoh Coffee",1,"46",17,10,25,0,10294,43,"36.8",15,"0",4,"1937-09-19","1993-05-03",1,"Beverages",2,"United Package"
10294,"1996-08-30","RATTC","Paula Wilson",60,"Camembert Pierrot",4,"34",19,0,0,0,10294,60,"27.2",21,"0",4,"1937-09-19","1993-05-03",4,"Dairy Products",2,"United Package"
10294,"1996-08-30","RATTC","Paula Wilson",75,"Rhönbräu Klosterbier",1,"7.75",125,0,25,0,10294,75,"6.2",6,"0",4,"1937-09-19","1993-05-03",1,"Beverages",2,"United Package"
10295,"1996-09-02","VINET","Paul Henriot",56,"Gnocchi di nonna Alice",5,"38",21,10,30,0,10295,56,"30.4",4,"0",2,"1952-02-19","1992-08-14",5,"Grains/Cereals",2,"United Package"
10296,"1996-09-03","LILAS","Carlos González",11,"Queso Cabrales",4,"21",22,30,30,0,10296,11,"16.8",12,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",1,"Speedy Express"
10296,"1996-09-03","LILAS","Carlos González",16,"Pavlova",3,"17.45",29,0,10,0,10296,16,"13.9",30,"0",6,"1963-07-02","1993-10-17",3,"Confections",1,"Speedy Express"
10296,"1996-09-03","LILAS","Carlos González",69,"Gudbrandsdalsost",4,"36",26,0,15,0,10296,69,"28.8",15,"0",6,"1963-07-02","1993-10-17",4,"Dairy Products",1,"Speedy Express"
